Step,Action,Price,Cash,BTC,BTC_Value,Total
376,1,58523.73,74412.99,16,936379.62,1010792.62
377,1,58550.00,74412.99,16,936799.94,1011212.93
378,1,58542.48,74412.99,16,936679.75,1011092.74
379,1,58546.50,74412.99,16,936743.94,1011156.93
380,1,58544.43,74412.99,16,936710.81,1011123.80
381,1,58543.32,74412.99,16,936693.19,1011106.18
382,1,58543.32,74412.99,16,936693.19,1011106.18
383,1,58543.00,74412.99,16,936688.06,1011101.05
384,1,58543.00,74412.99,16,936688.06,1011101.05
385,1,58502.39,74412.99,16,936038.31,1010451.30
386,1,58494.68,74412.99,16,935914.94,1010327.93
387,1,58486.23,74412.99,16,935779.62,1010192.62
388,1,58499.98,74412.99,16,935999.75,1010412.74
389,1,58473.48,74412.99,16,935575.62,1009988.62
390,1,58487.61,74412.99,16,935801.81,1010214.80
391,1,58484.05,74412.99,16,935744.75,1010157.74
392,1,58500.79,74412.99,16,936012.56,1010425.55
393,1,58500.80,74412.99,16,936012.75,1010425.74
394,1,58500.80,74412.99,16,936012.75,1010425.74
395,1,58506.09,74412.99,16,936097.50,1010510.49
396,1,58508.55,74412.99,16,936136.75,1010549.74
397,1,58508.55,74412.99,16,936136.75,1010549.74
398,1,58519.96,74412.99,16,936319.44,1010732.43
399,1,58519.96,74412.99,16,936319.44,1010732.43
400,1,58524.57,74412.99,16,936393.06,1010806.05
401,1,58520.48,74412.99,16,936327.62,1010740.62
402,-1,58520.48,1947066.93,-16,-936327.62,1010739.30
403,1,58514.59,74598.62,16,936233.50,1010832.12
404,1,58516.25,74598.62,16,936259.94,1010858.56
405,1,58543.43,74598.62,16,936694.94,1011293.56
406,1,58552.54,74598.62,16,936840.62,1011439.24
407,1,58552.57,74598.62,16,936841.19,1011439.81
408,1,58555.14,74598.62,16,936882.31,1011480.93
409,1,58561.61,74598.62,16,936985.69,1011584.31
410,1,58561.61,74598.62,16,936985.81,1011584.43
411,1,58563.77,74598.62,16,937020.25,1011618.87
412,1,58552.57,74598.62,16,936841.06,1011439.68
413,1,58561.61,74598.62,16,936985.69,1011584.31
414,1,58561.98,74598.62,16,936991.62,1011590.24
415,1,58552.57,74598.62,16,936841.06,1011439.68
416,1,58552.57,74598.62,16,936841.06,1011439.68
417,1,58518.70,74598.62,16,936299.25,1010897.87
418,1,58532.59,74598.62,16,936521.38,1011119.99
419,1,58529.80,74598.62,16,936476.75,1011075.37
420,1,58521.07,74598.62,16,936337.06,1010935.68
421,1,58521.14,74598.62,16,936338.31,1010936.93
422,1,58520.18,74598.62,16,936322.94,1010921.56
423,1,58519.38,74598.62,16,936310.00,1010908.62
424,1,58517.00,74598.62,16,936271.94,1010870.56
425,1,58511.09,74598.62,16,936177.38,1010775.99
426,1,58509.52,74598.62,16,936152.38,1010750.99
427,1,58532.59,74598.62,16,936521.38,1011119.99
428,1,58547.77,74598.62,16,936764.25,1011362.87
429,1,58547.77,74598.62,16,936764.25,1011362.87
430,1,58542.91,74598.62,16,936686.62,1011285.24
431,1,58536.75,74598.62,16,936587.94,1011186.56
